129,Intel Pentium 3825U @ 1.90GHz
130,AMD PRO A6-8500B
131,AMD Embedded G-Series GX-420GI Radeon R7E
132,AMD A4-7210 APU
133,Intel Celeron 3965U @ 2.20GHz
134,AMD PRO A6-8530B
135,AMD Embedded R-Series RX-216GD
136,AMD A4 PRO-3340B
137,Intel Celeron 2000E @ 2.20GHz
138,AMD A9-9420
139,AMD A6-9220
140,AMD PRO A6-9500B
141,AMD E2-7110 APU
142,Intel Core i5-4220Y @ 1.60GHz
143,AMD A9-9400
144,AMD A6-8500P
145,Intel Atom C2558 @ 2.40GHz
146,AMD A4-5050 APU
147,AMD A6-9200
148,Intel Pentium 4410Y @ 1.50GHz
149,AMD Embedded G-Series GX-224IJ Radeon R4E
150,AMD A4-5100 APU
151,Intel Pentium 4405Y @ 1.50GHz
152,Intel Celeron 3765U @ 1.90GHz
153,Intel Atom E3950 @ 1.60GHz
154,Intel Pentium N4200 @ 1.10GHz
155,AMD A8-7050
156,Intel Celeron 3865U @ 1.80GHz
157,Intel Atom x7-Z8750 @ 1.60GHz
158,AMD A10 Micro-6700T APU
159,AMD A6-9210
160,Intel Pentium N3710 @ 1.60GHz
161,Intel Atom x5-Z8550 @ 1.44GHz
162,AMD E2-9010
163,AMD A6 Micro-6500T APU
164,Intel Celeron N3450 @ 1.10GHz
165,Intel Celeron 3955U @ 2.00GHz
166,AMD A4-9120
167,AMD E2-9000
168,AMD Embedded G-Series GX-215JJ Radeon R2E
169,Intel Celeron N3160 @ 1.60GHz
170,Intel Atom x5-Z8500 @ 1.44GHz
171,Intel Celeron 3855U @ 1.60GHz
172,AMD QC-4000
173,Intel Celeron N3150 @ 1.60GHz
174,Intel Celeron 3965Y @ 1.50GHz
175,Intel Celeron 3215U @ 1.70GHz
176,Intel Atom x5-E8000 @ 1.04GHz
177,AMD R-260H APU
178,Intel Celeron 2981U @ 1.60GHz
179,AMD A6-9220e
180,AMD E2-9000e
181,Intel Atom x5-Z8350 @ 1.44GHz
182,Intel Celeron J3355 @ 2.00GHz
183,AMD GX-222GC SOC
184,AMD A9-9420e
185,Intel Atom x5-Z8300 @ 1.44GHz
186,Intel Celeron N3350 @ 1.10GHz
187,AMD GX-218GL SOC
188,AMD E1-7010 APU
189,Intel Atom x5-Z8330 @ 1.44GHz
190,Intel Celeron N3060 @ 1.60GHz
191,Intel Atom C2358 @ 1.74GHz
192,Intel Celeron N3010 @ 1.04GHz
193,Intel Celeron N3000 @ 1.04GHz
194,AMD E1-6015 APU
195,Intel Celeron N3050 @ 1.60GHz
196,Intel Atom E3827 @ 1.74GHz
197,Intel Atom x5-E3930 @ 1.30GHz
198,Intel Atom E3826 @ 1.46GHz
199,AMD GX-210JA SOC
200,Intel Celeron B710 @ 1.60GHz
